country,year,age_group,flf
afg,1990,15_19,71.056790
afg,1990,20_24,97.343190
afg,1990,25_29,78.445570
afg,1990,30_34,63.481430
afg,1990,35_39,54.387430
afg,1990,40_44,50.419560
afg,1990,45_49,36.050100
afg,1990,50_54,25.565810
afg,1990,55_59,18.210600
afg,1990,60_64,10.919370
afg,1990,65,8.622715
afg,1990,total_15,514.502600
afg,1991,15_19,75.503570
afg,1991,20_24,103.500200
afg,1991,25_29,83.412400
afg,1991,30_34,67.422690
afg,1991,35_39,57.481010
afg,1991,40_44,52.960740
afg,1991,45_49,38.322290
afg,1991,50_54,26.910670
afg,1991,55_59,19.138780
afg,1991,60_64,11.451310
afg,1991,65,9.053690
afg,1991,total_15,545.157400
afg,1992,15_19,81.760720
afg,1992,20_24,112.112500
afg,1992,25_29,90.396260
afg,1992,30_34,72.941520
afg,1992,35_39,62.155500
afg,1992,40_44,56.462180
afg,1992,45_49,41.650550
afg,1992,50_54,28.914500
afg,1992,55_59,20.572740
afg,1992,60_64,12.300950
afg,1992,65,9.732647
afg,1992,total_15,589.000000
afg,1993,15_19,88.764690
afg,1993,20_24,121.706300
afg,1993,25_29,98.204260
afg,1993,30_34,79.110890
afg,1993,35_39,67.521240
afg,1993,40_44,60.299890
afg,1993,45_49,45.370780
afg,1993,50_54,31.223150
afg,1993,55_59,22.232930
afg,1993,60_64,13.303640
afg,1993,65,10.540040
afg,1993,total_15,638.277800
afg,1994,15_19,95.320270
afg,1994,20_24,130.594200
afg,1994,25_29,105.460500
afg,1994,30_34,84.876130
afg,1994,35_39,72.528300
afg,1994,40_44,63.885960
afg,1994,45_49,48.668560
afg,1994,50_54,33.456680
afg,1994,55_59,23.805340
afg,1994,60_64,14.275130
afg,1994,65,11.342090
afg,1994,total_15,684.213200
afg,1995,15_19,100.788400
afg,1995,20_24,137.852400
afg,1995,25_29,111.395300
afg,1995,30_34,89.643260
afg,1995,35_39,76.588950
afg,1995,40_44,66.935900
afg,1995,45_49,51.090490
afg,1995,50_54,35.391690
afg,1995,55_59,25.117540
afg,1995,60_64,15.109400
afg,1995,65,12.067220
afg,1995,total_15,721.980600
afg,1996,15_19,103.833300
afg,1996,20_24,141.687800
afg,1996,25_29,114.572900
afg,1996,30_34,92.208740
afg,1996,35_39,78.717870
afg,1996,40_44,68.491180
afg,1996,45_49,51.954650
afg,1996,50_54,36.394210
afg,1996,55_59,25.650170
afg,1996,60_64,15.438410
afg,1996,65,12.467180
afg,1996,total_15,741.416400
afg,1997,15_19,105.541800
afg,1997,20_24,143.499500
afg,1997,25_29,116.111900
afg,1997,30_34,93.487310
afg,1997,35_39,79.706820
afg,1997,40_44,69.303470
afg,1997,45_49,51.853960
afg,1997,50_54,36.988460
afg,1997,55_59,25.817410
afg,1997,60_64,15.559090
afg,1997,65,12.646070
afg,1997,total_15,750.515900
afg,1998,15_19,106.749500
afg,1998,20_24,144.560800
afg,1998,25_29,116.998700
afg,1998,30_34,94.265150
afg,1998,35_39,80.253130
afg,1998,40_44,69.878780
afg,1998,45_49,51.397980
afg,1998,50_54,37.389510
afg,1998,55_59,25.876740
afg,1998,60_64,15.609250
afg,1998,65,12.714240
afg,1998,total_15,755.693800
afg,1999,15_19,108.528000
afg,1999,20_24,146.466200
afg,1999,25_29,118.461500
afg,1999,30_34,95.515280
afg,1999,35_39,81.229980
afg,1999,40_44,70.819930
afg,1999,45_49,51.332560
afg,1999,50_54,37.857280
afg,1999,55_59,26.143980
afg,1999,60_64,15.754490
afg,1999,65,12.811040
afg,1999,total_15,764.920300
afg,2000,15_19,95.171550
afg,2000,20_24,140.993600
afg,2000,25_29,117.576100
afg,2000,30_34,98.817500
afg,2000,35_39,84.992890
afg,2000,40_44,68.118690
afg,2000,45_49,54.683880
afg,2000,50_54,42.269880
afg,2000,55_59,29.492320
afg,2000,60_64,17.421900
afg,2000,65,15.374170
afg,2000,total_15,764.912400
afg,2001,15_19,98.764200
afg,2001,20_24,146.092700
afg,2001,25_29,121.518200
afg,2001,30_34,102.184900
afg,2001,35_39,87.908810
afg,2001,40_44,70.389470
afg,2001,45_49,56.182800
afg,2001,50_54,43.203000
afg,2001,55_59,30.488080
afg,2001,60_64,17.883330
afg,2001,65,15.925450
afg,2001,total_15,790.540900
afg,2002,15_19,103.674500
afg,2002,20_24,153.183100
afg,2002,25_29,126.975400
afg,2002,30_34,106.834800
afg,2002,35_39,91.959760
afg,2002,40_44,73.543400
afg,2002,45_49,58.598920
afg,2002,50_54,44.503810
afg,2002,55_59,31.985920
afg,2002,60_64,18.581310
afg,2002,65,16.649050
afg,2002,total_15,826.490000
afg,2003,15_19,109.547100
afg,2003,20_24,161.734200
afg,2003,25_29,133.559800
afg,2003,30_34,112.404000
afg,2003,35_39,96.822790
afg,2003,40_44,77.335770
afg,2003,45_49,61.671290
afg,2003,50_54,46.111530
afg,2003,55_59,33.797380
afg,2003,60_64,19.475350
afg,2003,65,17.492210
afg,2003,total_15,869.951400
afg,2004,15_19,115.919200
afg,2004,20_24,171.017800
afg,2004,25_29,140.759500
afg,2004,30_34,118.394700
afg,2004,35_39,102.057400
afg,2004,40_44,81.453250
afg,2004,45_49,65.031760
afg,2004,50_54,47.984740
afg,2004,55_59,35.650020
afg,2004,60_64,20.516030
afg,2004,65,18.382450
afg,2004,total_15,917.166800
afg,2005,15_19,122.579200
afg,2005,20_24,180.660600
afg,2005,25_29,148.317100
afg,2005,30_34,124.544700
afg,2005,35_39,107.427500
afg,2005,40_44,85.733640
afg,2005,45_49,68.471930
afg,2005,50_54,50.121980
afg,2005,55_59,37.391490
afg,2005,60_64,21.676280
afg,2005,65,19.285740
afg,2005,total_15,966.210000
afg,2006,15_19,129.022200
afg,2006,20_24,190.023500
afg,2006,25_29,155.753600
afg,2006,30_34,130.455600
afg,2006,35_39,112.604500
afg,2006,40_44,89.900540
afg,2006,45_49,71.707920
afg,2006,50_54,52.209380
afg,2006,55_59,38.754200
afg,2006,60_64,22.740490
afg,2006,65,20.300580
afg,2006,total_15,1013.472000
afg,2007,15_19,135.743800
afg,2007,20_24,199.790100
afg,2007,25_29,163.606500
afg,2007,30_34,136.567700
afg,2007,35_39,117.963900
afg,2007,40_44,94.258770
afg,2007,45_49,75.080220
afg,2007,50_54,54.573760
afg,2007,55_59,40.020920
afg,2007,60_64,23.926540
afg,2007,65,21.287780
afg,2007,total_15,1062.820000
afg,2008,15_19,143.135700
afg,2008,20_24,210.527900
afg,2008,25_29,172.301500
