country,year,age_group,flf0
afg,2010,15_19,161.972800
afg,2010,20_24,237.685200
afg,2010,25_29,194.176400
afg,2010,30_34,160.590400
afg,2010,35_39,138.445000
afg,2010,40_44,110.978100
afg,2010,45_49,88.321210
afg,2010,50_54,64.289280
afg,2010,55_59,45.499770
afg,2010,60_64,28.226710
afg,2010,65,24.825000
afg,2010,total_15,1255.010000
afg,2011,15_19,168.380000
afg,2011,20_24,246.757800
afg,2011,25_29,201.421400
afg,2011,30_34,166.299200
afg,2011,35_39,143.013100
afg,2011,40_44,114.707100
afg,2011,45_49,91.255590
afg,2011,50_54,66.335320
afg,2011,55_59,46.699670
afg,2011,60_64,28.815800
afg,2011,65,25.792220
afg,2011,total_15,1299.477000
afg,2012,15_19,175.752000
afg,2012,20_24,256.922500
afg,2012,25_29,209.613400
afg,2012,30_34,172.902100
afg,2012,35_39,148.200500
afg,2012,40_44,118.952500
afg,2012,45_49,94.657810
afg,2012,50_54,68.709690
afg,2012,55_59,48.295330
afg,2012,60_64,29.438310
afg,2012,65,26.851130
afg,2012,total_15,1350.295000
afg,2013,15_19,183.537600
afg,2013,20_24,268.008300
afg,2013,25_29,218.560900
afg,2013,30_34,180.195700
afg,2013,35_39,153.896500
afg,2013,40_44,123.569400
afg,2013,45_49,98.410150
afg,2013,50_54,71.344940
afg,2013,55_59,50.184280
afg,2013,60_64,30.140880
afg,2013,65,27.956290
afg,2013,total_15,1405.805000
afg,2014,15_19,190.954200
afg,2014,20_24,279.827200
afg,2014,25_29,228.013400
afg,2014,30_34,187.886800
afg,2014,35_39,159.958200
afg,2014,40_44,128.369900
afg,2014,45_49,102.349200
afg,2014,50_54,74.158150
afg,2014,55_59,52.222020
afg,2014,60_64,30.991570
afg,2014,65,29.043080
afg,2014,total_15,1463.774000
afg,2015,15_19,197.556800
afg,2015,20_24,292.222700
afg,2015,25_29,237.816500
afg,2015,30_34,195.791400
afg,2015,35_39,166.300100
afg,2015,40_44,133.250200
afg,2015,45_49,106.366400
afg,2015,50_54,77.096520
afg,2015,55_59,54.321930
afg,2015,60_64,32.024510
afg,2015,65,30.079960
afg,2015,total_15,1522.827000
afg,2016,15_19,202.794200
afg,2016,20_24,304.325100
afg,2016,25_29,247.329700
afg,2016,30_34,203.441900
afg,2016,35_39,172.530300
afg,2016,40_44,137.893100
afg,2016,45_49,110.083300
afg,2016,50_54,79.771620
afg,2016,55_59,56.120090
afg,2016,60_64,32.928940
afg,2016,65,31.185400
afg,2016,total_15,1578.404000
afg,2017,15_19,207.331500
afg,2017,20_24,317.082100
afg,2017,25_29,257.108900
afg,2017,30_34,211.383700
afg,2017,35_39,179.121800
afg,2017,40_44,142.697300
afg,2017,45_49,113.964800
afg,2017,50_54,82.615820
afg,2017,55_59,58.031650
afg,2017,60_64,34.004810
afg,2017,65,32.226060
afg,2017,total_15,1635.568000
afg,2018,15_19,211.403100
afg,2018,20_24,329.897300
afg,2018,25_29,267.266600
afg,2018,30_34,219.660300
afg,2018,35_39,186.056500
afg,2018,40_44,147.704100
afg,2018,45_49,118.007900
afg,2018,50_54,85.614810
afg,2018,55_59,60.069690
afg,2018,60_64,35.223490
afg,2018,65,33.229480
afg,2018,total_15,1694.133000
afg,2019,15_19,215.450400
afg,2019,20_24,341.933600
afg,2019,25_29,278.030400
afg,2019,30_34,228.357200
afg,2019,35_39,193.319500
afg,2019,40_44,153.003900
afg,2019,45_49,122.216700
afg,2019,50_54,88.761620
