country,year,age_group,fpop
afg,1980,00_04,1278.81
afg,1980,05_09,999.788
afg,1980,10_14,839.834
afg,1980,15_19,703.035
afg,1980,20_24,586.157
afg,1980,25_29,488.706
afg,1980,30_34,426.011
afg,1980,35_39,347.628
afg,1980,40_44,287.469
afg,1980,45_49,237.356
afg,1980,50_54,192.899
afg,1980,55_59,152.447
afg,1980,60_64,114.948
afg,1980,65,169.075
afg,1980,total_0,6824.16
afg,1980,total_15,3705.73
afg,1981,00_04,1271.38
afg,1981,05_09,990.136
afg,1981,10_14,825.431
afg,1981,15_19,691.776
afg,1981,20_24,576.495
afg,1981,25_29,478.101
afg,1981,30_34,415.737
afg,1981,35_39,342.658
afg,1981,40_44,281.79
afg,1981,45_49,232.623
afg,1981,50_54,189.127
afg,1981,55_59,149.55
afg,1981,60_64,112.987
afg,1981,65,169.543
afg,1981,total_0,6727.33
afg,1981,total_15,3640.39
afg,1982,00_04,1247.23
afg,1982,05_09,973.073
afg,1982,10_14,806.666
afg,1982,15_19,676.738
afg,1982,20_24,563.14
afg,1982,25_29,466.053
afg,1982,30_34,401.093
afg,1982,35_39,336.268
afg,1982,40_44,274.078
afg,1982,45_49,226.408
afg,1982,50_54,184.114
afg,1982,55_59,145.606
afg,1982,60_64,110.097
afg,1982,65,167.323
afg,1982,total_0,6577.89
afg,1982,total_15,3550.92
afg,1983,00_04,1212.38
afg,1983,05_09,950.184
afg,1983,10_14,786.869
afg,1983,15_19,659.915
afg,1983,20_24,548.115
afg,1983,25_29,453.715
afg,1983,30_34,384.594
afg,1983,35_39,328.835
afg,1983,40_44,265.529
afg,1983,45_49,219.509
afg,1983,50_54,178.495
afg,1983,55_59,141.151
afg,1983,60_64,106.7
afg,1983,65,162.856
afg,1983,total_0,6398.85
afg,1983,total_15,3449.41
afg,1984,00_04,1178.71
afg,1984,05_09,924.303
afg,1984,10_14,768.715
afg,1984,15_19,643.855
afg,1984,20_24,533.95
afg,1984,25_29,442.199
afg,1984,30_34,369.38
afg,1984,35_39,320.592
afg,1984,40_44,257.666
afg,1984,45_49,212.808
afg,1984,50_54,173.017
afg,1984,55_59,136.786
afg,1984,60_64,103.276
afg,1984,65,156.71
afg,1984,total_0,6221.97
afg,1984,total_15,3350.24
afg,1985,00_04,1160.84
afg,1985,05_09,897.304
afg,1985,10_14,752.72
afg,1985,15_19,630.794
afg,1985,20_24,522.51
afg,1985,25_29,432.386
afg,1985,30_34,357.382
afg,1985,35_39,311.938
afg,1985,40_44,251.485
afg,1985,45_49,206.891
afg,1985,50_54,168.196
afg,1985,55_59,132.919
afg,1985,60_64,100.149
afg,1985,65,149.21
afg,1985,total_0,6074.72
afg,1985,total_15,3263.86
afg,1986,00_04,1142.66
afg,1986,05_09,885.184
afg,1986,10_14,735.676
afg,1986,15_19,617.499
afg,1986,20_24,511.688
afg,1986,25_29,423.162
afg,1986,30_34,347.757
afg,1986,35_39,302.411
afg,1986,40_44,246.819
afg,1986,45_49,201.439
afg,1986,50_54,163.842
afg,1986,55_59,129.508
afg,1986,60_64,97.681
afg,1986,65,147.675
afg,1986,total_0,5953
afg,1986,total_15,3189.48
afg,1987,00_04,1115.73
afg,1987,05_09,879.896
afg,1987,10_14,725.373
afg,1987,15_19,609.565
