country,year,age_group,fpr
afg,1990,15_19,10.910860000000001
afg,1990,20_24,18.00488
afg,1990,25_29,17.64563
afg,1990,30_34,17.3521
afg,1990,35_39,18.12667
afg,1990,40_44,19.286360000000002
afg,1990,45_49,17.27034
afg,1990,50_54,15.105889999999999
afg,1990,55_59,13.594560000000001
afg,1990,60_64,10.79822
afg,1990,65,5.668289
afg,1990,total_15,15.4554
afg,1991,15_19,10.75447
afg,1991,20_24,17.7468
afg,1991,25_29,17.392689999999998
afg,1991,30_34,17.10337
afg,1991,35_39,17.86684
afg,1991,40_44,19.026529999999998
afg,1991,45_49,17.01051
afg,1991,50_54,14.87863
afg,1991,55_59,13.390039999999999
afg,1991,60_64,10.635760000000001
afg,1991,65,5.583011
afg,1991,total_15,15.23615
afg,1992,15_19,10.60903
afg,1992,20_24,17.5068
afg,1992,25_29,17.15748
afg,1992,30_34,16.87207
afg,1992,35_39,17.625220000000002
afg,1992,40_44,18.78491
afg,1992,45_49,16.76888
afg,1992,50_54,14.667279999999998
afg,1992,55_59,13.19984
afg,1992,60_64,10.48468
afg,1992,65,5.5037080000000005
afg,1992,total_15,15.029329999999998
afg,1993,15_19,10.47763
afg,1993,20_24,17.28996
afg,1993,25_29,16.94497
afg,1993,30_34,16.6631
afg,1993,35_39,17.40691
afg,1993,40_44,18.56661
afg,1993,45_49,16.55058
afg,1993,50_54,14.476339999999999
afg,1993,55_59,13.027999999999999
afg,1993,60_64,10.348189999999999
afg,1993,65,5.432059
afg,1993,total_15,14.83969
afg,1994,15_19,10.35488
afg,1994,20_24,17.0874
afg,1994,25_29,16.74646
afg,1994,30_34,16.467879999999997
afg,1994,35_39,17.20298
afg,1994,40_44,18.362679999999997
afg,1994,45_49,16.34665
afg,1994,50_54,14.297970000000001
afg,1994,55_59,12.867469999999999
afg,1994,60_64,10.22069
afg,1994,65,5.3651279999999995
afg,1994,total_15,14.6598
afg,1995,15_19,10.23448
afg,1995,20_24,16.88871
afg,1995,25_29,16.55173
afg,1995,30_34,16.2764
afg,1995,35_39,17.00295
afg,1995,40_44,18.16265
afg,1995,45_49,16.146620000000002
afg,1995,50_54,14.12301
afg,1995,55_59,12.71002
afg,1995,60_64,10.09562
afg,1995,65,5.299475
afg,1995,total_15,14.48078
afg,1996,15_19,10.109810000000001
afg,1996,20_24,16.68299
afg,1996,25_29,16.35011
afg,1996,30_34,16.078129999999998
afg,1996,35_39,16.79583
afg,1996,40_44,17.95553
afg,1996,45_49,15.9395
afg,1996,50_54,13.94185
afg,1996,55_59,12.54698
afg,1996,60_64,9.966117
afg,1996,65,5.231497
afg,1996,total_15,14.29824
afg,1997,15_19,9.982813
afg,1997,20_24,16.47343
afg,1997,25_29,16.14473
afg,1997,30_34,15.876170000000002
afg,1997,35_39,16.58486
afg,1997,40_44,17.74455
afg,1997,45_49,15.72853
afg,1997,50_54,13.75731
afg,1997,55_59,12.38091
afg,1997,60_64,9.834204
afg,1997,65,5.162252
afg,1997,total_15,14.11328
afg,1998,15_19,9.865300999999999
afg,1998,20_24,16.279510000000002
afg,1998,25_29,15.95469
afg,1998,30_34,15.68929
afg,1998,35_39,16.38963
afg,1998,40_44,17.54932
afg,1998,45_49,15.5333
afg,1998,50_54,13.58655
afg,1998,55_59,12.22723
afg,1998,60_64,9.712139
afg,1998,65,5.098177
afg,1998,total_15,13.94302
afg,1999,15_19,9.776323
afg,1999,20_24,16.13268
afg,1999,25_29,15.810789999999999
afg,1999,30_34,15.54778
afg,1999,35_39,16.24181
afg,1999,40_44,17.4015
afg,1999,45_49,15.38548
afg,1999,50_54,13.45725
afg,1999,55_59,12.11087
afg,1999,60_64,9.619713
afg,1999,65,5.04966
afg,1999,total_15,13.81475
afg,2000,15_19,8.297997
afg,2000,20_24,15.070529999999998
afg,2000,25_29,15.2569
afg,2000,30_34,15.628779999999999
afg,2000,35_39,16.51868
afg,2000,40_44,16.27582
afg,2000,45_49,16.07413
afg,2000,50_54,14.674339999999999
afg,2000,55_59,13.25956
afg,2000,60_64,10.359760000000001
afg,2000,65,5.93176
afg,2000,total_15,13.427810000000001
afg,2001,15_19,8.299638
afg,2001,20_24,15.07351
afg,2001,25_29,15.259920000000001
afg,2001,30_34,15.631870000000001
afg,2001,35_39,16.52194
afg,2001,40_44,16.27909
afg,2001,45_49,16.0774
afg,2001,50_54,14.677320000000002
afg,2001,55_59,13.262260000000001
afg,2001,60_64,10.36186
afg,2001,65,5.932966
afg,2001,total_15,13.42547
afg,2002,15_19,8.335695
afg,2002,20_24,15.139000000000001
afg,2002,25_29,15.326210000000001
afg,2002,30_34,15.69979
afg,2002,35_39,16.59372
afg,2002,40_44,16.35086
afg,2002,45_49,16.149179999999998
afg,2002,50_54,14.74285
afg,2002,55_59,13.321470000000001
afg,2002,60_64,10.40812
afg,2002,65,5.959455
afg,2002,total_15,13.47994
afg,2003,15_19,8.402302
afg,2003,20_24,15.259970000000001
afg,2003,25_29,15.44868
afg,2003,30_34,15.825239999999999
afg,2003,35_39,16.72632
afg,2003,40_44,16.48346
afg,2003,45_49,16.28177
afg,2003,50_54,14.8639
afg,2003,55_59,13.43085
afg,2003,60_64,10.49358
afg,2003,65,6.008385
afg,2003,total_15,13.584810000000001
afg,2004,15_19,8.494756
afg,2004,20_24,15.427879999999998
afg,2004,25_29,15.618670000000002
afg,2004,30_34,15.99937
afg,2004,35_39,16.91036
afg,2004,40_44,16.6675
afg,2004,45_49,16.46582
afg,2004,50_54,15.031920000000001
afg,2004,55_59,13.582670000000002
afg,2004,60_64,10.6122
afg,2004,65,6.076302
afg,2004,total_15,13.73206
afg,2005,15_19,8.610973
afg,2005,20_24,15.63895
