country,year,age_group,mflf
afg,1990,15_19,400.930000
afg,1990,20_24,596.985600
afg,1990,25_29,544.664200
afg,1990,30_34,457.336200
afg,1990,35_39,380.708300
afg,1990,40_44,332.813100
afg,1990,45_49,256.087100
afg,1990,50_54,193.421200
afg,1990,55_59,137.361000
afg,1990,60_64,86.276460
afg,1990,65,72.864210
afg,1990,total_15,3459.447000
afg,1991,15_19,431.174400
afg,1991,20_24,642.498300
afg,1991,25_29,586.338900
afg,1991,30_34,491.460100
afg,1991,35_39,407.070300
afg,1991,40_44,353.503300
afg,1991,45_49,275.742300
afg,1991,50_54,206.245200
afg,1991,55_59,146.383000
afg,1991,60_64,91.821600
afg,1991,65,77.650630
afg,1991,total_15,3709.888000
afg,1992,15_19,472.213900
afg,1992,20_24,703.945600
afg,1992,25_29,642.842700
afg,1992,30_34,537.604600
afg,1992,35_39,445.068800
afg,1992,40_44,381.007700
afg,1992,45_49,303.464900
afg,1992,50_54,224.376400
afg,1992,55_59,159.452900
afg,1992,60_64,100.041800
afg,1992,65,84.632190
afg,1992,total_15,4054.652000
afg,1993,15_19,518.009500
afg,1993,20_24,772.218000
afg,1993,25_29,705.753200
afg,1993,30_34,589.006200
afg,1993,35_39,488.446500
afg,1993,40_44,411.128400
afg,1993,45_49,334.497300
afg,1993,50_54,245.165500
afg,1993,55_59,174.464200
afg,1993,60_64,109.653800
afg,1993,65,92.812050
afg,1993,total_15,4441.154000
afg,1994,15_19,561.726900
afg,1994,20_24,836.827000
afg,1994,25_29,765.380600
afg,1994,30_34,638.007300
afg,1994,35_39,529.766500
afg,1994,40_44,439.916300
afg,1994,45_49,362.938600
afg,1994,50_54,265.774500
afg,1994,55_59,189.039200
afg,1994,60_64,119.187600
afg,1994,65,101.067600
afg,1994,total_15,4809.632000
afg,1995,15_19,599.644700
afg,1995,20_24,891.968100
afg,1995,25_29,816.305000
afg,1995,30_34,680.264100
afg,1995,35_39,564.803100
afg,1995,40_44,465.449800
afg,1995,45_49,385.438000
afg,1995,50_54,284.521200
afg,1995,55_59,201.867100
afg,1995,60_64,127.790300
afg,1995,65,108.807900
afg,1995,total_15,5126.859000
afg,1996,15_19,624.111700
afg,1996,20_24,926.447400
afg,1996,25_29,848.701700
afg,1996,30_34,706.981800
afg,1996,35_39,586.186800
afg,1996,40_44,480.795100
afg,1996,45_49,396.582500
afg,1996,50_54,296.174000
afg,1996,55_59,208.737700
afg,1996,60_64,132.338000
afg,1996,65,114.067000
afg,1996,total_15,5321.124000
afg,1997,15_19,641.041600
afg,1997,20_24,948.391700
afg,1997,25_29,869.605500
afg,1997,30_34,724.508000
afg,1997,35_39,599.587800
afg,1997,40_44,491.196100
afg,1997,45_49,400.600300
afg,1997,50_54,304.761100
afg,1997,55_59,212.722000
afg,1997,60_64,135.143800
afg,1997,65,117.351100
afg,1997,total_15,5444.909000
afg,1998,15_19,654.742500
afg,1998,20_24,964.965600
afg,1998,25_29,885.158200
afg,1998,30_34,737.920000
afg,1998,35_39,609.482100
afg,1998,40_44,499.704500
afg,1998,45_49,401.553400
afg,1998,50_54,311.628700
afg,1998,55_59,215.644900
afg,1998,60_64,137.215800
afg,1998,65,119.470800
afg,1998,total_15,5537.486000
afg,1999,15_19,670.657200
afg,1999,20_24,985.102400
afg,1999,25_29,903.037800
afg,1999,30_34,753.449500
afg,1999,35_39,621.417500
afg,1999,40_44,509.851700
