country,year,age_group,mfpop
afg,1980,00_04,2634.845000
afg,1980,05_09,2073.251000
afg,1980,10_14,1746.981000
afg,1980,15_19,1468.614000
afg,1980,20_24,1230.352000
afg,1980,25_29,1029.776000
afg,1980,30_34,899.933000
afg,1980,35_39,735.275000
afg,1980,40_44,606.815000
afg,1980,45_49,496.883000
afg,1980,50_54,398.063000
afg,1980,55_59,309.137000
afg,1980,60_64,229.139000
afg,1980,65,326.665000
afg,1980,total_0,14185.730000
afg,1980,total_15,7730.652000
afg,1981,00_04,2618.750000
afg,1981,05_09,2052.706000
afg,1981,10_14,1717.232000
afg,1981,15_19,1444.677000
afg,1981,20_24,1209.586000
afg,1981,25_29,1007.352000
afg,1981,30_34,878.317000
afg,1981,35_39,724.734000
afg,1981,40_44,594.940000
afg,1981,45_49,487.472000
afg,1981,50_54,390.945000
afg,1981,55_59,303.840000
afg,1981,60_64,225.596000
afg,1981,65,327.945000
afg,1981,total_0,13984.090000
afg,1981,total_15,7595.404000
afg,1982,00_04,2568.939000
afg,1982,05_09,2016.774000
afg,1982,10_14,1678.235000
afg,1982,15_19,1412.860000
afg,1982,20_24,1180.975000
afg,1982,25_29,981.726000
afg,1982,30_34,847.450000
afg,1982,35_39,711.186000
afg,1982,40_44,578.653000
afg,1982,45_49,474.760000
afg,1982,50_54,381.088000
afg,1982,55_59,296.281000
afg,1982,60_64,220.085000
afg,1982,65,323.858000
afg,1982,total_0,13672.870000
afg,1982,total_15,7408.922000
afg,1983,00_04,2497.448000
afg,1983,05_09,1969.018000
afg,1983,10_14,1636.835000
afg,1983,15_19,1377.447000
afg,1983,20_24,1148.867000
afg,1983,25_29,955.338000
afg,1983,30_34,812.626000
afg,1983,35_39,695.471000
afg,1983,40_44,560.548000
afg,1983,45_49,460.439000
afg,1983,50_54,369.811000
afg,1983,55_59,287.529000
afg,1983,60_64,213.458000
afg,1983,65,315.221000
afg,1983,total_0,13300.060000
afg,1983,total_15,7196.755000
afg,1984,00_04,2428.390000
afg,1984,05_09,1915.536000
afg,1984,10_14,1598.717000
afg,1984,15_19,1343.786000
afg,1984,20_24,1118.657000
afg,1984,25_29,930.587000
afg,1984,30_34,780.465000
afg,1984,35_39,678.107000
afg,1984,40_44,543.909000
afg,1984,45_49,446.399000
afg,1984,50_54,358.653000
afg,1984,55_59,278.812000
afg,1984,60_64,206.676000
afg,1984,65,303.097000
afg,1984,total_0,12931.790000
afg,1984,total_15,6989.148000
afg,1985,00_04,2391.532000
afg,1985,05_09,1860.417000
afg,1985,10_14,1565.255000
afg,1985,15_19,1316.463000
afg,1985,20_24,1094.313000
afg,1985,25_29,909.409000
afg,1985,30_34,755.030000
afg,1985,35_39,659.943000
afg,1985,40_44,530.882000
afg,1985,45_49,433.921000
afg,1985,50_54,348.703000
afg,1985,55_59,270.968000
afg,1985,60_64,200.385000
afg,1985,65,288.071000
afg,1985,total_0,12625.290000
afg,1985,total_15,6808.088000
afg,1986,00_04,2353.658000
afg,1986,05_09,1834.830000
afg,1986,10_14,1530.094000
afg,1986,15_19,1288.593000
afg,1986,20_24,1071.399000
afg,1986,25_29,889.726000
afg,1986,30_34,734.523000
afg,1986,35_39,639.802000
afg,1986,40_44,521.062000
afg,1986,45_49,422.651000
afg,1986,50_54,340.041000
afg,1986,55_59,264.476000
afg,1986,60_64,195.783000
afg,1986,65,285.475000
afg,1986,total_0,12372.110000
afg,1986,total_15,6653.531000
afg,1987,00_04,2298.534000
afg,1987,05_09,1823.347000
afg,1987,10_14,1508.736000
afg,1987,15_19,1271.842000
afg,1987,20_24,1057.659000
afg,1987,25_29,876.880000
afg,1987,30_34,722.925000
afg,1987,35_39,621.849000
afg,1987,40_44,516.953000
afg,1987,45_49,414.493000
afg,1987,50_54,334.199000
afg,1987,55_59,260.127000
afg,1987,60_64,192.663000
afg,1987,65,283.180000
afg,1987,total_0,12183.390000
afg,1987,total_15,6552.770000
afg,1988,00_04,2267.716000
afg,1988,05_09,1834.361000
afg,1988,10_14,1510.985000
afg,1988,15_19,1273.245000
afg,1988,20_24,1059.163000
afg,1988,25_29,876.244000
afg,1988,30_34,723.436000
afg,1988,35_39,611.463000
afg,1988,40_44,520.096000
afg,1988,45_49,412.385000
afg,1988,50_54,333.061000
afg,1988,55_59,259.428000
afg,1988,60_64,192.198000
afg,1988,65,282.904000
afg,1988,total_0,12156.680000
afg,1988,total_15,6543.623000
afg,1989,00_04,2320.557000
afg,1989,05_09,1878.199000
afg,1989,10_14,1546.699000
afg,1989,15_19,1301.104000
afg,1989,20_24,1082.888000
afg,1989,25_29,894.168000
afg,1989,30_34,739.394000
afg,1989,35_39,615.022000
afg,1989,40_44,531.897000
afg,1989,45_49,419.827000
afg,1989,50_54,338.718000
afg,1989,55_59,264.069000
afg,1989,60_64,195.678000
afg,1989,65,286.466000
afg,1989,total_0,12414.690000
afg,1989,total_15,6669.231000
afg,1990,00_04,2517.193000
afg,1990,05_09,1955.879000
afg,1990,10_14,1616.855000
afg,1990,15_19,1358.414000
afg,1990,20_24,1131.062000
afg,1990,25_29,932.743000
afg,1990,30_34,771.298000
afg,1990,35_39,634.866000
afg,1990,40_44,552.131000
afg,1990,45_49,437.985000
afg,1990,50_54,351.704000
afg,1990,55_59,274.491000
afg,1990,60_64,203.451000
afg,1990,65,294.089000
afg,1990,total_0,13032.160000
afg,1990,total_15,6942.234000
afg,1991,00_04,2730.886000
afg,1991,05_09,2130.647000
afg,1991,10_14,1748.039000
afg,1991,15_19,1464.244000
afg,1991,20_24,1219.878000
afg,1991,25_29,1006.000000
afg,1991,30_34,830.566000
afg,1991,35_39,680.280000
afg,1991,40_44,587.621000
afg,1991,45_49,472.544000
afg,1991,50_54,375.731000
afg,1991,55_59,292.957000
afg,1991,60_64,216.762000
afg,1991,65,313.699000
afg,1991,total_0,14069.850000
afg,1991,total_15,7460.282000
afg,1992,00_04,3019.236000
afg,1992,05_09,2356.799000
afg,1992,10_14,1926.208000
afg,1992,15_19,1607.102000
afg,1992,20_24,1339.241000
afg,1992,25_29,1104.917000
afg,1992,30_34,910.324000
afg,1992,35_39,745.258000
afg,1992,40_44,634.428000
afg,1992,45_49,520.951000
afg,1992,50_54,409.449000
afg,1992,55_59,319.543000
afg,1992,60_64,236.381000
afg,1992,65,342.239000
afg,1992,total_0,15472.080000
afg,1992,total_15,8169.833000
afg,1993,00_04,3358.315000
afg,1993,05_09,2602.153000
afg,1993,10_14,2127.353000
afg,1993,15_19,1766.441000
afg,1993,20_24,1471.822000
afg,1993,25_29,1215.072000
afg,1993,30_34,999.146000
afg,1993,35_39,819.354000
afg,1993,40_44,685.561000
afg,1993,45_49,575.048000
afg,1993,50_54,448.002000
afg,1993,55_59,350.023000
afg,1993,60_64,259.262000
afg,1993,65,375.661000
afg,1993,total_0,17053.210000
afg,1993,total_15,8965.392000
afg,1994,00_04,3674.677000
afg,1994,05_09,2830.899000
afg,1994,10_14,2320.871000
afg,1994,15_19,1919.103000
afg,1994,20_24,1597.728000
afg,1994,25_29,1319.863000
afg,1994,30_34,1084.090000
afg,1994,35_39,890.151000
afg,1994,40_44,734.506000
afg,1994,45_49,624.720000
afg,1994,50_54,486.196000
afg,1994,55_59,379.640000
afg,1994,60_64,281.945000
afg,1994,65,409.430000
afg,1994,total_0,18553.820000
afg,1994,total_15,9727.372000
afg,1995,00_04,3890.351000
afg,1995,05_09,3023.622000
afg,1995,10_14,2486.378000
afg,1995,15_19,2052.538000
afg,1995,20_24,1705.958000
afg,1995,25_29,1409.972000
afg,1995,30_34,1157.818000
afg,1995,35_39,950.596000
afg,1995,40_44,778.133000
afg,1995,45_49,664.200000
afg,1995,50_54,520.970000
afg,1995,55_59,405.761000
afg,1995,60_64,302.431000
afg,1995,65,441.152000
afg,1995,total_0,19789.880000
afg,1995,total_15,10389.530000
afg,1996,00_04,4106.493000
afg,1996,05_09,3177.469000
afg,1996,10_14,2596.143000
afg,1996,15_19,2140.323000
afg,1996,20_24,1774.893000
afg,1996,25_29,1468.023000
afg,1996,30_34,1205.203000
afg,1996,35_39,988.396000
afg,1996,40_44,805.092000
afg,1996,45_49,684.318000
afg,1996,50_54,542.890000
afg,1996,55_59,419.974000
afg,1996,60_64,313.350000
afg,1996,65,462.415000
afg,1996,total_0,20684.980000
afg,1996,total_15,10804.880000
afg,1997,00_04,4258.045000
afg,1997,05_09,3287.712000
afg,1997,10_14,2674.341000
afg,1997,15_19,2202.714000
afg,1997,20_24,1820.144000
afg,1997,25_29,1506.466000
afg,1997,30_34,1237.043000
afg,1997,35_39,1012.865000
afg,1997,40_44,823.921000
afg,1997,45_49,692.219000
afg,1997,50_54,559.291000
afg,1997,55_59,428.492000
afg,1997,60_64,320.242000
