country,year,age_group,mfpr
afg,1990,15_19,29.514570000000003
afg,1990,20_24,52.78098000000001
afg,1990,25_29,58.39382
afg,1990,30_34,59.29436
afg,1990,35_39,59.966719999999995
afg,1990,40_44,60.277919999999995
afg,1990,45_49,58.46938000000001
afg,1990,50_54,54.99544
afg,1990,55_59,50.04209
afg,1990,60_64,42.40651
afg,1990,65,24.77625
afg,1990,total_15,49.83191
afg,1991,15_19,29.4469
afg,1991,20_24,52.669059999999995
afg,1991,25_29,58.28419
afg,1991,30_34,59.17171
afg,1991,35_39,59.83863
afg,1991,40_44,60.15838000000001
afg,1991,45_49,58.35272
afg,1991,50_54,54.89171999999999
afg,1991,55_59,49.96741
afg,1991,60_64,42.36056
afg,1991,65,24.75323
afg,1991,total_15,49.72852
afg,1992,15_19,29.38294
afg,1992,20_24,52.563019999999995
afg,1992,25_29,58.18018000000001
afg,1992,30_34,59.0564
afg,1992,35_39,59.7201
afg,1992,40_44,60.05531
afg,1992,45_49,58.252109999999995
afg,1992,50_54,54.79959
afg,1992,55_59,49.9003
afg,1992,60_64,42.32227
afg,1992,65,24.72897
afg,1992,total_15,49.62955
afg,1993,15_19,29.32504
afg,1993,20_24,52.4668
afg,1993,25_29,58.08324
afg,1993,30_34,58.95097
afg,1993,35_39,59.613609999999994
afg,1993,40_44,59.96961999999999
afg,1993,45_49,58.16859
afg,1993,50_54,54.72419
afg,1993,55_59,49.84363
afg,1993,60_64,42.29459
afg,1993,65,24.706329999999998
afg,1993,total_15,49.53665
afg,1994,15_19,29.27028
afg,1994,20_24,52.376059999999995
afg,1994,25_29,57.9894
afg,1994,30_34,58.85188
afg,1994,35_39,59.514230000000005
afg,1994,40_44,59.89281
afg,1994,45_49,58.0962
afg,1994,50_54,54.664069999999995
afg,1994,55_59,49.79433
afg,1994,60_64,42.273340000000005
afg,1994,65,24.68496
afg,1994,total_15,49.444309999999994
afg,1995,15_19,29.21479
afg,1995,20_24,52.285470000000004
afg,1995,25_29,57.89512
afg,1995,30_34,58.753969999999995
afg,1995,35_39,59.41568
