country,year,age_group,mfpr
afg,1990,15_19,29.514570
afg,1990,20_24,52.780980
afg,1990,25_29,58.393820
afg,1990,30_34,59.294360
afg,1990,35_39,59.966720
afg,1990,40_44,60.277920
afg,1990,45_49,58.469380
afg,1990,50_54,54.995440
afg,1990,55_59,50.042090
afg,1990,60_64,42.406510
afg,1990,65,24.776250
afg,1990,total_15,49.831910
afg,1991,15_19,29.446900
afg,1991,20_24,52.669060
afg,1991,25_29,58.284190
afg,1991,30_34,59.171710
afg,1991,35_39,59.838630
afg,1991,40_44,60.158380
afg,1991,45_49,58.352720
afg,1991,50_54,54.891720
afg,1991,55_59,49.967410
afg,1991,60_64,42.360560
afg,1991,65,24.753230
afg,1991,total_15,49.728520
afg,1992,15_19,29.382940
afg,1992,20_24,52.563020
afg,1992,25_29,58.180180
afg,1992,30_34,59.056400
afg,1992,35_39,59.720100
afg,1992,40_44,60.055310
afg,1992,45_49,58.252110
afg,1992,50_54,54.799590
afg,1992,55_59,49.900300
afg,1992,60_64,42.322270
afg,1992,65,24.728970
afg,1992,total_15,49.629550
afg,1993,15_19,29.325040
afg,1993,20_24,52.466800
afg,1993,25_29,58.083240
afg,1993,30_34,58.950970
afg,1993,35_39,59.613610
afg,1993,40_44,59.969620
afg,1993,45_49,58.168590
afg,1993,50_54,54.724190
afg,1993,55_59,49.843630
afg,1993,60_64,42.294590
afg,1993,65,24.706330
afg,1993,total_15,49.536650
afg,1994,15_19,29.270280
afg,1994,20_24,52.376060
afg,1994,25_29,57.989400
afg,1994,30_34,58.851880
afg,1994,35_39,59.514230
afg,1994,40_44,59.892810
afg,1994,45_49,58.096200
afg,1994,50_54,54.664070
afg,1994,55_59,49.794330
afg,1994,60_64,42.273340
afg,1994,65,24.684960
afg,1994,total_15,49.444310
afg,1995,15_19,29.214790
afg,1995,20_24,52.285470
afg,1995,25_29,57.895120
afg,1995,30_34,58.753970
afg,1995,35_39,59.415680
afg,1995,40_44,59.816230
afg,1995,45_49,58.030420
afg,1995,50_54,54.613740
afg,1995,55_59,49.750260
afg,1995,60_64,42.254380
afg,1995,65,24.664480
afg,1995,total_15,49.346410
afg,1996,15_19,29.159700
afg,1996,20_24,52.197360
afg,1996,25_29,57.812560
afg,1996,30_34,58.660810
afg,1996,35_39,59.306870
afg,1996,40_44,59.719270
afg,1996,45_49,57.952960
afg,1996,50_54,54.555070
afg,1996,55_59,49.702540
afg,1996,60_64,42.233300
afg,1996,65,24.667670
afg,1996,total_15,49.247430
afg,1997,15_19,29.102350
afg,1997,20_24,52.105310
afg,1997,25_29,57.724870
afg,1997,30_34,58.567730
afg,1997,35_39,59.197200
afg,1997,40_44,59.616890
afg,1997,45_49,57.871910
afg,1997,50_54,54.490620
afg,1997,55_59,49.644340
afg,1997,60_64,42.200520
afg,1997,65,24.661100
afg,1997,total_15,49.145100
afg,1998,15_19,29.049220
afg,1998,20_24,52.018960
afg,1998,25_29,57.640130
afg,1998,30_34,58.482190
afg,1998,35_39,59.096990
afg,1998,40_44,59.520160
afg,1998,45_49,57.796180
afg,1998,50_54,54.428960
afg,1998,55_59,49.585500
afg,1998,60_64,42.163810
afg,1998,65,24.647450
afg,1998,total_15,49.049320
afg,1999,15_19,29.009750
afg,1999,20_24,51.953400
afg,1999,25_29,57.573230
afg,1999,30_34,58.417490
afg,1999,35_39,59.022140
afg,1999,40_44,59.446080
afg,1999,45_49,57.739280
afg,1999,50_54,54.383790
afg,1999,55_59,49.541630
afg,1999,60_64,42.134100
afg,1999,65,24.631020
afg,1999,total_15,48.974810
afg,2000,15_19,27.058830
afg,2000,20_24,50.744110
afg,2000,25_29,57.275390
afg,2000,30_34,58.505140
afg,2000,35_39,59.295780
afg,2000,40_44,58.657340
afg,2000,45_49,58.167950
afg,2000,50_54,55.635720
afg,2000,55_59,50.970240
afg,2000,60_64,42.077650
afg,2000,65,24.495570
afg,2000,total_15,48.440300
afg,2001,15_19,27.060330
afg,2001,20_24,50.746830
afg,2001,25_29,57.282940
afg,2001,30_34,58.505020
afg,2001,35_39,59.284040
afg,2001,40_44,58.638610
afg,2001,45_49,58.167680
afg,2001,50_54,55.650250
afg,2001,55_59,50.993550
afg,2001,60_64,42.097100
afg,2001,65,24.525160
afg,2001,total_15,48.416840
afg,2002,15_19,27.077210
afg,2002,20_24,50.775550
afg,2002,25_29,57.315590
afg,2002,30_34,58.534170
afg,2002,35_39,59.307770
afg,2002,40_44,58.652540
