country,year,age_group,mlf
afg,1990,15_19,329.873200
afg,1990,20_24,499.642400
afg,1990,25_29,466.218700
afg,1990,30_34,393.854800
afg,1990,35_39,326.320900
afg,1990,40_44,282.393500
afg,1990,45_49,220.037000
afg,1990,50_54,167.855300
afg,1990,55_59,119.150400
afg,1990,60_64,75.357090
afg,1990,65,64.241500
afg,1990,total_15,2944.945000
afg,1991,15_19,355.670800
afg,1991,20_24,538.998100
afg,1991,25_29,502.926500
afg,1991,30_34,424.037400
afg,1991,35_39,349.589200
afg,1991,40_44,300.542500
afg,1991,45_49,237.420000
afg,1991,50_54,179.334500
afg,1991,55_59,127.244200
afg,1991,60_64,80.370290
afg,1991,65,68.596950
afg,1991,total_15,3164.731000
afg,1992,15_19,390.453200
afg,1992,20_24,591.833100
afg,1992,25_29,552.446500
afg,1992,30_34,464.663100
afg,1992,35_39,382.913300
afg,1992,40_44,324.545500
afg,1992,45_49,261.814400
afg,1992,50_54,195.461900
afg,1992,55_59,138.880200
afg,1992,60_64,87.740860
afg,1992,65,74.899540
afg,1992,total_15,3465.652000
afg,1993,15_19,429.244800
afg,1993,20_24,650.511700
afg,1993,25_29,607.549000
afg,1993,30_34,509.895400
afg,1993,35_39,420.925200
afg,1993,40_44,350.828500
afg,1993,45_49,289.126500
afg,1993,50_54,213.942300
afg,1993,55_59,152.231200
afg,1993,60_64,96.350170
afg,1993,65,82.272010
afg,1993,total_15,3802.877000
afg,1994,15_19,466.406600
afg,1994,20_24,706.232800
afg,1994,25_29,659.920100
afg,1994,30_34,553.131200
afg,1994,35_39,457.238200
afg,1994,40_44,376.030300
afg,1994,45_49,314.270100
afg,1994,50_54,232.317900
afg,1994,55_59,165.233900
afg,1994,60_64,104.912400
afg,1994,65,89.725540
afg,1994,total_15,4125.419000
afg,1995,15_19,498.856300
afg,1995,20_24,754.115700
afg,1995,25_29,704.909700
afg,1995,30_34,590.620800
afg,1995,35_39,488.214200
afg,1995,40_44,398.513900
afg,1995,45_49,334.347600
afg,1995,50_54,249.129500
afg,1995,55_59,176.749600
afg,1995,60_64,112.680900
afg,1995,65,96.740650
afg,1995,total_15,4404.879000
afg,1996,15_19,520.278400
afg,1996,20_24,784.759600
afg,1996,25_29,734.128800
afg,1996,30_34,614.773100
afg,1996,35_39,507.468900
afg,1996,40_44,412.303900
afg,1996,45_49,344.627900
afg,1996,50_54,259.779800
afg,1996,55_59,183.087600
afg,1996,60_64,116.899600
afg,1996,65,101.599800
afg,1996,total_15,4579.707000
afg,1997,15_19,535.499800
afg,1997,20_24,804.892200
afg,1997,25_29,753.493600
afg,1997,30_34,631.020700
afg,1997,35_39,519.881000
afg,1997,40_44,421.892600
afg,1997,45_49,348.746400
afg,1997,50_54,267.772700
afg,1997,55_59,186.904600
afg,1997,60_64,119.584700
afg,1997,65,104.705000
afg,1997,total_15,4694.393000
afg,1998,15_19,547.993000
afg,1998,20_24,820.404800
afg,1998,25_29,768.159500
afg,1998,30_34,643.654900
afg,1998,35_39,529.228900
afg,1998,40_44,429.825700
afg,1998,45_49,350.155400
afg,1998,50_54,274.239100
afg,1998,55_59,189.768100
afg,1998,60_64,121.606500
afg,1998,65,106.756600
afg,1998,total_15,4781.793000
afg,1999,15_19,562.129200
afg,1999,20_24,838.636200
afg,1999,25_29,784.576300
afg,1999,30_34,657.934300
afg,1999,35_39,540.187600
afg,1999,40_44,439.031800
afg,1999,45_49,353.152500
afg,1999,50_54,280.463000
afg,1999,55_59,193.627200
afg,1999,60_64,123.992500
afg,1999,65,108.655900
afg,1999,total_15,4882.386000
afg,2000,15_19,551.000800
afg,2000,20_24,850.282500
afg,2000,25_29,806.141500
afg,2000,30_34,677.575500
afg,2000,35_39,557.042200
afg,2000,40_44,449.043100
afg,2000,45_49,360.784800
afg,2000,50_54,291.206800
afg,2000,55_59,203.488100
afg,2000,60_64,125.882400
afg,2000,65,107.987200
afg,2000,total_15,4980.435000
afg,2001,15_19,571.577500
afg,2001,20_24,880.689200
afg,2001,25_29,833.040600
afg,2001,30_34,700.287500
afg,2001,35_39,575.508700
afg,2001,40_44,463.327400
afg,2001,45_49,370.464300
afg,2001,50_54,297.694300
afg,2001,55_59,210.515100
afg,2001,60_64,129.312100
afg,2001,65,112.153300
afg,2001,total_15,5144.570000
afg,2002,15_19,597.262900
afg,2002,20_24,919.127600
afg,2002,25_29,866.578900
afg,2002,30_34,728.745100
afg,2002,35_39,599.008400
afg,2002,40_44,481.390000
afg,2002,45_49,384.446500
afg,2002,50_54,305.408900
afg,2002,55_59,220.042200
afg,2002,60_64,133.822200
afg,2002,65,116.950500
afg,2002,total_15,5352.783000
afg,2003,15_19,625.931000
afg,2003,20_24,962.335700
afg,2003,25_29,903.973100
afg,2003,30_34,760.382300
afg,2003,35_39,625.370000
afg,2003,40_44,501.638100
afg,2003,45_49,400.990200
afg,2003,50_54,313.979300
afg,2003,55_59,230.732600
afg,2003,60_64,139.151800
afg,2003,65,121.991900
afg,2003,total_15,5586.476000
afg,2004,15_19,654.870800
afg,2004,20_24,1006.012000
afg,2004,25_29,941.784600
afg,2004,30_34,791.852500
afg,2004,35_39,651.740600
afg,2004,40_44,522.100700
afg,2004,45_49,417.754500
afg,2004,50_54,323.164200
afg,2004,55_59,240.735400
afg,2004,60_64,144.984400
afg,2004,65,126.769300
afg,2004,total_15,5821.769000
afg,2005,15_19,682.686000
afg,2005,20_24,1047.829000
afg,2005,25_29,978.233800
afg,2005,30_34,821.286400
afg,2005,35_39,676.506800
afg,2005,40_44,541.705900
afg,2005,45_49,433.417200
afg,2005,50_54,332.897700
afg,2005,55_59,249.051100
afg,2005,60_64,151.108000
afg,2005,65,131.038700
afg,2005,total_15,6045.760000
afg,2006,15_19,706.521400
afg,2006,20_24,1084.083000
afg,2006,25_29,1010.559000
afg,2006,30_34,846.070100
