country,year,age_group,mlf0
afg,2010,15_19,806.116100
afg,2010,20_24,1233.229000
afg,2010,25_29,1145.444000
afg,2010,30_34,947.294000
afg,2010,35_39,779.732400
afg,2010,40_44,625.845800
afg,2010,45_49,497.603100
afg,2010,50_54,380.641000
afg,2010,55_59,271.415100
afg,2010,60_64,176.347600
afg,2010,65,151.087900
afg,2010,total_15,7014.756000
afg,2011,15_19,837.790100
afg,2011,20_24,1279.442000
afg,2011,25_29,1187.964000
afg,2011,30_34,980.479600
afg,2011,35_39,804.927200
afg,2011,40_44,646.387100
afg,2011,45_49,513.751000
afg,2011,50_54,392.387500
afg,2011,55_59,278.539000
afg,2011,60_64,180.113700
afg,2011,65,157.268400
afg,2011,total_15,7259.050000
afg,2012,15_19,874.329600
afg,2012,20_24,1330.934000
afg,2012,25_29,1235.895000
afg,2012,30_34,1018.829000
afg,2012,35_39,833.630900
afg,2012,40_44,669.871600
afg,2012,45_49,532.554800
afg,2012,50_54,406.022600
afg,2012,55_59,287.906100
afg,2012,60_64,184.049800
afg,2012,65,163.871900
afg,2012,total_15,7537.895000
afg,2013,15_19,913.048000
afg,2013,20_24,1387.011000
afg,2013,25_29,1287.980000
afg,2013,30_34,1061.162000
afg,2013,35_39,865.233100
afg,2013,40_44,695.517500
afg,2013,45_49,553.361100
afg,2013,50_54,421.194800
afg,2013,55_59,298.936600
afg,2013,60_64,188.470600
afg,2013,65,170.601700
afg,2013,total_15,7842.516000
afg,2014,15_19,950.022000
afg,2014,20_24,1446.957000
afg,2014,25_29,1342.648000
afg,2014,30_34,1105.780000
afg,2014,35_39,898.919600
afg,2014,40_44,722.298200
afg,2014,45_49,575.262800
afg,2014,50_54,437.475800
afg,2014,55_59,310.809500
afg,2014,60_64,193.794200
afg,2014,65,177.044400
afg,2014,total_15,8161.011000
afg,2015,15_19,982.923400
afg,2015,20_24,1510.149000
afg,2015,25_29,1399.013000
afg,2015,30_34,1151.574000
afg,2015,35_39,934.184600
afg,2015,40_44,749.628400
afg,2015,45_49,597.692600
afg,2015,50_54,454.583300
afg,2015,55_59,323.056900
afg,2015,60_64,200.221300
afg,2015,65,183.004900
afg,2015,total_15,8486.031000
afg,2016,15_19,1009.046000
afg,2016,20_24,1572.458000
afg,2016,25_29,1454.243000
afg,2016,30_34,1196.069000
afg,2016,35_39,968.530500
afg,2016,40_44,775.261500
afg,2016,45_49,618.300400
afg,2016,50_54,470.100400
afg,2016,55_59,333.543000
afg,2016,60_64,205.920800
afg,2016,65,190.081000
afg,2016,total_15,8793.554000
afg,2017,15_19,1031.601000
afg,2017,20_24,1638.276000
afg,2017,25_29,1510.657000
afg,2017,30_34,1242.310000
afg,2017,35_39,1004.941000
afg,2017,40_44,801.862900
afg,2017,45_49,639.863500
afg,2017,50_54,486.640400
afg,2017,55_59,344.649700
afg,2017,60_64,212.581500
afg,2017,65,196.598800
afg,2017,total_15,9109.983000
afg,2018,15_19,1051.811000
afg,2018,20_24,1704.487000
afg,2018,25_29,1568.997000
afg,2018,30_34,1290.456000
afg,2018,35_39,1043.335000
afg,2018,40_44,829.696100
afg,2018,45_49,662.366700
afg,2018,50_54,504.142400
afg,2018,55_59,356.491500
afg,2018,60_64,220.058100
afg,2018,65,202.713900
afg,2018,total_15,9434.554000
afg,2019,15_19,1071.865000
afg,2019,20_24,1766.641000
afg,2019,25_29,1630.825000
afg,2019,30_34,1340.854000
afg,2019,35_39,1083.635000
afg,2019,40_44,859.265000
afg,2019,45_49,685.847400
afg,2019,50_54,522.569100
afg,2019,55_59,369.262400
afg,2019,60_64,228.137600
afg,2019,65,208.650500
afg,2019,total_15,9767.552000
afg,2020,15_19,1093.266000
afg,2020,20_24,1822.236000
afg,2020,25_29,1696.890000
afg,2020,30_34,1393.662000
afg,2020,35_39,1125.809000
afg,2020,40_44,890.912800
afg,2020,45_49,710.360800
afg,2020,50_54,541.913000
afg,2020,55_59,383.069900
afg,2020,60_64,236.729600
afg,2020,65,214.569500
afg,2020,total_15,10109.420000
alb,2010,15_19,60.417850
alb,2010,20_24,115.831400
alb,2010,25_29,110.786100
alb,2010,30_34,87.488010
alb,2010,35_39,90.925520
alb,2010,40_44,90.207600
alb,2010,45_49,98.186380
alb,2010,50_54,94.250150
alb,2010,55_59,57.243630
alb,2010,60_64,29.011310
alb,2010,65,39.763080
alb,2010,total_15,874.111100
alb,2011,15_19,59.407620
alb,2011,20_24,114.846600
alb,2011,25_29,116.118900
alb,2011,30_34,91.046230
alb,2011,35_39,89.798000
alb,2011,40_44,89.863750
alb,2011,45_49,96.241930
alb,2011,50_54,95.846130
alb,2011,55_59,61.375640
alb,2011,60_64,29.433120
alb,2011,65,40.508600
alb,2011,total_15,884.486500
alb,2012,15_19,58.928850
alb,2012,20_24,111.992700
alb,2012,25_29,120.861500
alb,2012,30_34,96.424890
alb,2012,35_39,87.670170
