country,year,age_group,mpop
afg,1980,00_04,1356.034000
afg,1980,05_09,1073.463000
afg,1980,10_14,907.147000
afg,1980,15_19,765.579000
afg,1980,20_24,644.195000
afg,1980,25_29,541.070000
afg,1980,30_34,473.922000
afg,1980,35_39,387.647000
afg,1980,40_44,319.346000
afg,1980,45_49,259.527000
afg,1980,50_54,205.164000
afg,1980,55_59,156.690000
afg,1980,60_64,114.191000
afg,1980,65,157.590000
afg,1980,total_0,7361.565000
afg,1980,total_15,4024.921000
afg,1981,00_04,1347.366000
afg,1981,05_09,1062.570000
afg,1981,10_14,891.801000
afg,1981,15_19,752.902000
afg,1981,20_24,633.093000
afg,1981,25_29,529.253000
afg,1981,30_34,462.583000
afg,1981,35_39,382.079000
afg,1981,40_44,313.151000
afg,1981,45_49,254.850000
afg,1981,50_54,201.818000
afg,1981,55_59,154.289000
afg,1981,60_64,112.607000
afg,1981,65,158.397000
afg,1981,total_0,7256.759000
afg,1981,total_15,3955.022000
afg,1982,00_04,1321.705000
afg,1982,05_09,1043.699000
afg,1982,10_14,871.569000
afg,1982,15_19,736.124000
afg,1982,20_24,617.839000
afg,1982,25_29,515.675000
afg,1982,30_34,446.360000
afg,1982,35_39,374.922000
afg,1982,40_44,304.577000
afg,1982,45_49,248.354000
afg,1982,50_54,196.973000
afg,1982,55_59,150.674000
afg,1982,60_64,109.985000
afg,1982,65,156.529000
afg,1982,total_0,7094.985000
afg,1982,total_15,3858.012000
afg,1983,00_04,1285.058000
afg,1983,05_09,1018.833000
afg,1983,10_14,849.966000
afg,1983,15_19,717.534000
afg,1983,20_24,600.755000
afg,1983,25_29,501.625000
afg,1983,30_34,428.036000
afg,1983,35_39,366.639000
afg,1983,40_44,295.021000
afg,1983,45_49,240.932000
afg,1983,50_54,191.314000
afg,1983,55_59,146.377000
afg,1983,60_64,106.755000
afg,1983,65,152.360000
afg,1983,total_0,6901.205000
afg,1983,total_15,3747.348000
afg,1984,00_04,1249.673000
afg,1984,05_09,991.233000
afg,1984,10_14,830.002000
afg,1984,15_19,699.932000
afg,1984,20_24,584.708000
afg,1984,25_29,488.389000
afg,1984,30_34,411.088000
afg,1984,35_39,357.517000
afg,1984,40_44,286.244000
afg,1984,45_49,233.592000
afg,1984,50_54,185.636000
afg,1984,55_59,142.025000
afg,1984,60_64,103.399000
afg,1984,65,146.383000
afg,1984,total_0,6709.821000
afg,1984,total_15,3638.913000
afg,1985,00_04,1230.694000
afg,1985,05_09,963.113000
afg,1985,10_14,812.535000
afg,1985,15_19,685.669000
afg,1985,20_24,571.803000
afg,1985,25_29,477.023000
afg,1985,30_34,397.648000
afg,1985,35_39,348.005000
afg,1985,40_44,279.397000
afg,1985,45_49,227.030000
afg,1985,50_54,180.507000
afg,1985,55_59,138.049000
afg,1985,60_64,100.236000
afg,1985,65,138.861000
afg,1985,total_0,6550.570000
afg,1985,total_15,3544.228000
afg,1986,00_04,1210.994000
afg,1986,05_09,949.646000
afg,1986,10_14,794.417000
afg,1986,15_19,671.096000
afg,1986,20_24,559.712000
afg,1986,25_29,466.565000
afg,1986,30_34,386.768000
afg,1986,35_39,337.394000
afg,1986,40_44,274.244000
afg,1986,45_49,221.213000
afg,1986,50_54,176.198000
afg,1986,55_59,134.968000
afg,1986,60_64,98.100000
afg,1986,65,137.797000
afg,1986,total_0,6419.112000
afg,1986,total_15,3464.055000
afg,1987,00_04,1182.802000
afg,1987,05_09,943.450000
afg,1987,10_14,783.363000
afg,1987,15_19,662.278000
afg,1987,20_24,552.408000
afg,1987,25_29,459.646000
afg,1987,30_34,380.537000
afg,1987,35_39,327.938000
afg,1987,40_44,272.088000
afg,1987,45_49,216.971000
afg,1987,50_54,173.286000
afg,1987,55_59,132.927000
afg,1987,60_64,96.670000
afg,1987,65,136.808000
afg,1987,total_0,6321.172000
afg,1987,total_15,3411.557000
afg,1988,00_04,1167.269000
afg,1988,05_09,948.972000
afg,1988,10_14,784.433000
afg,1988,15_19,662.922000
afg,1988,20_24,553.072000
afg,1988,25_29,459.081000
afg,1988,30_34,380.649000
afg,1988,35_39,322.477000
afg,1988,40_44,273.753000
afg,1988,45_49,215.860000
afg,1988,50_54,172.762000
afg,1988,55_59,132.702000
afg,1988,60_64,96.541000
afg,1988,65,136.720000
afg,1988,total_0,6307.213000
afg,1988,total_15,3406.539000
afg,1989,00_04,1194.676000
afg,1989,05_09,971.644000
afg,1989,10_14,802.784000
afg,1989,15_19,677.371000
afg,1989,20_24,565.350000
afg,1989,25_29,468.218000
afg,1989,30_34,388.868000
afg,1989,35_39,324.363000
afg,1989,40_44,279.993000
afg,1989,45_49,219.740000
afg,1989,50_54,175.723000
afg,1989,55_59,135.160000
afg,1989,60_64,98.368000
afg,1989,65,138.408000
afg,1989,total_0,6440.666000
afg,1989,total_15,3471.562000
afg,1990,00_04,1295.739000
afg,1990,05_09,1012.106000
afg,1990,10_14,839.046000
afg,1990,15_19,707.166000
afg,1990,20_24,590.413000
afg,1990,25_29,488.182000
afg,1990,30_34,405.455000
afg,1990,35_39,334.825000
afg,1990,40_44,290.705000
afg,1990,45_49,229.245000
afg,1990,50_54,182.460000
afg,1990,55_59,140.536000
afg,1990,60_64,102.329000
afg,1990,65,141.967000
afg,1990,total_0,6760.174000
afg,1990,total_15,3613.283000
afg,1991,00_04,1405.462000
afg,1991,05_09,1102.301000
afg,1991,10_14,907.198000
afg,1991,15_19,762.177000
afg,1991,20_24,636.674000
afg,1991,25_29,526.417000
afg,1991,30_34,436.359000
afg,1991,35_39,358.562000
afg,1991,40_44,309.269000
afg,1991,45_49,247.259000
afg,1991,50_54,194.862000
afg,1991,55_59,150.024000
afg,1991,60_64,109.094000
afg,1991,65,151.533000
afg,1991,total_0,7297.191000
afg,1991,total_15,3882.230000
afg,1992,00_04,1553.374000
afg,1992,05_09,1219.074000
afg,1992,10_14,999.609000
afg,1992,15_19,836.431000
afg,1992,20_24,698.848000
afg,1992,25_29,578.055000
afg,1992,30_34,478.004000
