country,year,age_group,mpr
afg,1990,15_19,46.6472
afg,1990,20_24,84.6259
afg,1990,25_29,95.501
afg,1990,30_34,97.139
afg,1990,35_39,97.4601
afg,1990,40_44,97.1409
afg,1990,45_49,95.9833
afg,1990,50_54,91.9957
afg,1990,55_59,84.7829
afg,1990,60_64,73.642
afg,1990,65,45.251
afg,1990,total_15,81.5033
afg,1991,15_19,46.6651
afg,1991,20_24,84.6584
afg,1991,25_29,95.5377
afg,1991,30_34,97.1763
afg,1991,35_39,97.4976
afg,1991,40_44,97.1784
afg,1991,45_49,96.0208
afg,1991,50_54,92.0316
afg,1991,55_59,84.8159
afg,1991,60_64,73.6707
afg,1991,65,45.2687
afg,1991,total_15,81.5184
afg,1992,15_19,46.6809
afg,1992,20_24,84.6869
afg,1992,25_29,95.5699
afg,1992,30_34,97.2091
afg,1992,35_39,97.5304
afg,1992,40_44,97.2112
afg,1992,45_49,96.0536
afg,1992,50_54,92.0631
afg,1992,55_59,84.845
afg,1992,60_64,73.6959
afg,1992,65,45.2841
afg,1992,total_15,81.5288
afg,1993,15_19,46.6947
afg,1993,20_24,84.712
afg,1993,25_29,95.5981
afg,1993,30_34,97.2378
afg,1993,35_39,97.5593
afg,1993,40_44,97.24
afg,1993,45_49,96.0824
afg,1993,50_54,92.0907
afg,1993,55_59,84.8704
afg,1993,60_64,73.718
afg,1993,65,45.2977
afg,1993,total_15,81.5326
afg,1994,15_19,46.7075
afg,1994,20_24,84.7354
afg,1994,25_29,95.6245
afg,1994,30_34,97.2646
afg,1994,35_39,97.5862
afg,1994,40_44,97.267
afg,1994,45_49,96.1094
afg,1994,50_54,92.1165
afg,1994,55_59,84.8942
afg,1994,60_64,73.7387
afg,1994,65,45.3104
afg,1994,total_15,81.5284
afg,1995,15_19,46.7206
afg,1995,20_24,84.7589
afg,1995,25_29,95.6511
afg,1995,30_34,97.2917
afg,1995,35_39,97.6134
afg,1995,40_44,97.2942
afg,1995,45_49,96.1366
afg,1995,50_54,92.1425
afg,1995,55_59,84.9182
afg,1995,60_64,73.7595
afg,1995,65,45.3232
afg,1995,total_15,81.5153
afg,1996,15_19,46.7343
afg,1996,20_24,84.784
afg,1996,25_29,95.6794
afg,1996,30_34,97.3204
afg,1996,35_39,97.6422
afg,1996,40_44,97.323
afg,1996,45_49,96.1654
afg,1996,50_54,92.1702
afg,1996,55_59,84.9437
afg,1996,60_64,73.7816
afg,1996,65,45.3368
afg,1996,total_15,81.4965
afg,1997,15_19,46.7489
afg,1997,20_24,84.8104
afg,1997,25_29,95.7092
afg,1997,30_34,97.3507
afg,1997,35_39,97.6726
afg,1997,40_44,97.3534
afg,1997,45_49,96.1958
afg,1997,50_54,92.1993
afg,1997,55_59,84.9705
afg,1997,60_64,73.805
afg,1997,65,45.3512
afg,1997,total_15,81.4792
afg,1998,15_19,46.7636
afg,1998,20_24,84.837
afg,1998,25_29,95.7392
afg,1998,30_34,97.3812
afg,1998,35_39,97.7032
afg,1998,40_44,97.384
afg,1998,45_49,96.2264
afg,1998,50_54,92.2287
afg,1998,55_59,84.9976
afg,1998,60_64,73.8285
afg,1998,65,45.3656
afg,1998,total_15,81.4648
afg,1999,15_19,46.7769
afg,1999,20_24,84.8612
afg,1999,25_29,95.7666
afg,1999,30_34,97.4091
afg,1999,35_39,97.7312
afg,1999,40_44,97.412
afg,1999,45_49,96.2544
afg,1999,50_54,92.2555
afg,1999,55_59,85.0223
afg,1999,60_64,73.8499
afg,1999,65,45.3788
afg,1999,total_15,81.4537
afg,2000,15_19,44.3959
afg,2000,20_24,83.5312
afg,2000,25_29,95.7273
afg,2000,30_34,97.5249
afg,2000,35_39,98.0292
afg,2000,40_44,96.9564
afg,2000,45_49,96.4513
afg,2000,50_54,93.5334
afg,2000,55_59,86.7132
afg,2000,60_64,73.0168
afg,2000,65,44.1805
afg,2000,total_15,80.7962
afg,2001,15_19,44.4036
afg,2001,20_24,83.5457
afg,2001,25_29,95.7439
afg,2001,30_34,97.5418
afg,2001,35_39,98.0462
afg,2001,40_44,96.9734
afg,2001,45_49,96.4683
afg,2001,50_54,93.5498
afg,2001,55_59,86.7284
afg,2001,60_64,73.0296
afg,2001,65,44.1882
afg,2001,total_15,80.7625
afg,2002,15_19,44.4088
