key,value,file
concept,concept_type,ddf--concepts.csv
concept,name,ddf--concepts.csv
"country,age_group,year",flf,ddf--datapoints--flf--by--country--age_group--year.csv
"country,age_group,year",flf0,ddf--datapoints--flf0--by--country--age_group--year.csv
"country,age_group,year",fpop,ddf--datapoints--fpop--by--country--age_group--year.csv
"country,age_group,year",fpr,ddf--datapoints--fpr--by--country--age_group--year.csv
"country,age_group,year",mflf,ddf--datapoints--mflf--by--country--age_group--year.csv
"country,age_group,year",mfpop,ddf--datapoints--mfpop--by--country--age_group--year.csv
"country,age_group,year",mfpr,ddf--datapoints--mfpr--by--country--age_group--year.csv
"country,age_group,year",mlf,ddf--datapoints--mlf--by--country--age_group--year.csv
"country,age_group,year",mlf0,ddf--datapoints--mlf0--by--country--age_group--year.csv
"country,age_group,year",mpop,ddf--datapoints--mpop--by--country--age_group--year.csv
"country,age_group,year",mpr,ddf--datapoints--mpr--by--country--age_group--year.csv
age_group,name,ddf--entities--age_group.csv
country,iso2,ddf--entities--country.csv
country,name,ddf--entities--country.csv
country,sort_code,ddf--entities--country.csv
